segment_id,filename,image_panoid,date,query_counter,lat,lon,geometry,years_since_today,name,length,bearing
684842474-684842485,img_684842474-684842485_h1_016.png,kZ_z5uRYioemWEf6Vp3w2w,2023-12-01,39.0,40.44107512243712,-79.99261028377957,POINT (409760.8643053882 125413.75947846903),0.3,NA,122.11,91.2
104572699-104573441,img_104572699-104573441_h0_004.png,ZiqppgAxP4ip184aU7A_7Q,2022-10-01,20.0,40.43920871855411,-79.99456679605957,POINT (409589.66357064666 125210.8000589204),1.47,Sixth Avenue,117.064,199.9
104572699-104573441,img_104572699-104573441_h1_005.png,ZiqppgAxP4ip184aU7A_7Q,2022-10-01,21.0,40.43920871855411,-79.99456679605957,POINT (409589.66357064666 125210.8000589204),1.47,Sixth Avenue,117.064,199.9
104572699-104573441,img_104572699-104573441_h1_003.png,v240jYlNDJUxJnT_1s5D2A,2022-10-01,5.0,40.43947369893472,-79.9944013445237,POINT (409604.4437736465 125239.85688435796),1.47,Sixth Avenue,117.064,199.9
104572699-104573441,img_104572699-104573441_h0_002.png,v240jYlNDJUxJnT_1s5D2A,2022-10-01,4.0,40.43947369893472,-79.9944013445237,POINT (409604.4437736465 125239.85688435796),1.47,Sixth Avenue,117.064,199.9
104572699-104573441,img_104572699-104573441_h0_000.png,O0qtplZmjAR6E_uRstTwpw,2022-10-01,0.0,40.43955910523896,-79.99434801428134,POINT (409609.2078606371 125249.22224161253),1.47,Sixth Avenue,117.064,199.9
104572699-736437289,img_104572699-736437289_h0_000.png,O0qtplZmjAR6E_uRstTwpw,2022-10-01,0.0,40.43955910523896,-79.99434801428134,POINT (409609.2078606371 125249.22224161253),1.47,Centre Avenue,80.166,65.3
104572699-736437289,img_104572699-736437289_h1_001.png,O0qtplZmjAR6E_uRstTwpw,2022-10-01,1.0,40.43955910523896,-79.99434801428134,POINT (409609.2078606371 125249.22224161253),1.47,Centre Avenue,80.166,65.3
104572699-104573441,img_104572699-104573441_h1_001.png,O0qtplZmjAR6E_uRstTwpw,2022-10-01,1.0,40.43955910523896,-79.99434801428134,POINT (409609.2078606371 125249.22224161253),1.47,Sixth Avenue,117.064,199.9
104572699-736437289,img_104572699-736437289_h1_003.png,WzsI8fusxI430BZloDArYw,2022-10-01,3.0,40.43964779814022,-79.99429707320333,POINT (409613.7785777722 125258.95757399201),1.47,Centre Avenue,80.166,65.3
104572699-736437289,img_104572699-736437289_h0_002.png,WzsI8fusxI430BZloDArYw,2022-10-01,2.0,40.43964779814022,-79.99429707320333,POINT (409613.7785777722 125258.95757399201),1.47,Centre Avenue,80.166,65.3
106099212-736437289,img_106099212-736437289_h1_005.png,j08VJmQMelOzrZcO6sS2ag,2023-05-01,11.0,40.44091684337419,-79.99420995279807,POINT (409624.74807214434 125399.63727951633),0.89,Chatham Street,97.71799999999999,153.7
684828139-684828146,img_684828139-684828146_h1_007.png,j08VJmQMelOzrZcO6sS2ag,2023-05-01,17.0,40.44091684337419,-79.99420995279807,POINT (409624.74807214434 125399.63727951633),0.89,NA,47.888999999999996,177.4
684828146-684828149,img_684828146-684828149_h0_002.png,j08VJmQMelOzrZcO6sS2ag,2023-05-01,8.0,40.44091684337419,-79.99420995279807,POINT (409624.74807214434 125399.63727951633),0.89,NA,36.263999999999996,110.4
684828139-684828146,img_684828139-684828146_h0_006.png,j08VJmQMelOzrZcO6sS2ag,2023-05-01,16.0,40.44091684337419,-79.99420995279807,POINT (409624.74807214434 125399.63727951633),0.89,NA,47.888999999999996,177.4
106099212-736437289,img_106099212-736437289_h1_001.png,l4U0QV-wFp54RIWbS3B2cQ,2023-05-01,1.0,40.44102559934711,-79.99389278600218,POINT (409651.9541959421 125411.02581766814),0.89,Chatham Street,97.71799999999999,153.7
106099212-684828146,img_106099212-684828146_h1_003.png,l4U0QV-wFp54RIWbS3B2cQ,2023-05-01,9.0,40.44102559934711,-79.99389278600218,POINT (409651.9541959421 125411.02581766814),0.89,NA,24.525,148.2
106099212-684828146,img_106099212-684828146_h0_002.png,l4U0QV-wFp54RIWbS3B2cQ,2023-05-01,8.0,40.44102559934711,-79.99389278600218,POINT (409651.9541959421 125411.02581766814),0.89,NA,24.525,148.2
106099212-736437289,img_106099212-736437289_h0_000.png,l4U0QV-wFp54RIWbS3B2cQ,2023-05-01,0.0,40.44102559934711,-79.99389278600218,POINT (409651.9541959421 125411.02581766814),0.89,Chatham Street,97.71799999999999,153.7
104472649-104572648,img_104472649-104572648_h0_004.png,dmTxfbdsctVgonf6kw-kcg,2023-05-01,12.0,40.44075926697116,-79.99468591414433,POINT (409583.93650409963 125383.17201730715),0.89,Sixth Avenue,36.076,294.7
104572642-104572648,img_104572642-104572648_h1_007.png,dmTxfbdsctVgonf6kw-kcg,2023-05-01,23.0,40.44075926697116,-79.99468591414433,POINT (409583.93650409963 125383.17201730715),0.89,Sixth Avenue,57.844,112.3
104472649-106099212,img_104472649-106099212_h0_004.png,f8BqXADPrdEadV1mCtTWsA,2023-05-01,14.0,40.44083368818079,-79.99444904306478,POINT (409604.2358822463 125390.92226464463),0.89,Bigelow Square,110.903,49.8
